Genres,Source,Type,Episodes,Decimal,Popularity,Score,Favorites
Hentai,13,3,1,2048,4504,7.23,48
"Comedy, Romance, Shounen, Otro",9,5,12,83,445,7.4,847
"Comedy, Romance",9,0,1,3,4505,7.68,4
"Comedy, Romance, Fantasy, Action",9,0,1,15,2209,7.56,114
"Sci-Fi, Romance, Fantasy, Shounen",6,5,13,54,896,7.75,1536
"Historical, Romance, Fantasy, Gore, Shounen, Supernatural",9,0,1,17558,1160,7.66,641
"Comedy, Romance, Ecchi",6,3,3,259,4172,6.78,5
Shoujo,9,3,1,512,8276,5.4,1
"Romance, Shoujo, Music",9,0,1,8706,7479,7.34,1
"Historical, Shounen, Action",4,0,1,1048,2582,7.71,75
"Historical, Fantasy, Shounen, Action",9,4,1,1052,4296,7.06,22
"Romance, Music",9,0,1,8194,3973,6.31,6
"Comedy, Romance, Ecchi",5,4,9,259,2367,6.74,17
Sports,6,5,2,4096,10115,5.44,1
"Comedy, Romance, Gore, Shounen, Supernatural, Ecchi",6,3,2,16787,1229,7.34,41
"Comedy, Romance",6,5,95,3,7715,6.87,5
"Fantasy, Action, Supernatural",9,0,1,140,3139,7.77,18
"Romance, Otro",8,0,1,66,897,8.28,910
"Sci-Fi, Romance, Music, Action",9,5,26,8234,1682,7.31,294
"Comedy, Fantasy",4,2,3,5,6501,6.52,2
"Comedy, Fantasy, Shounen, Action, Supernatural",6,3,4,157,4140,7.48,15
Otro,9,5,0,64,11541,6.0,0
Romance,5,3,3,2,2581,7.46,27
"Romance, Shounen, Action, Supernatural",6,4,1,154,2428,7.15,56
"Sci-Fi, Shounen",6,4,1,48,3558,6.62,6
"Fantasy, Shoujo",6,3,1,516,8907,5.68,0
"Comedy, Fantasy, Action, Supernatural, Ecchi",6,3,2,397,6525,6.14,2
Comedy,15,4,1,1,6866,6.66,0
"Comedy, Sci-Fi, Romance, Shounen, Supernatural, Ecchi",6,5,13,435,220,7.57,3569
"Sci-Fi, Romance",9,5,12,34,184,7.59,2528
"Comedy, Romance, Supernatural, Otro",6,0,1,195,1602,8.02,92
"Comedy, Romance",6,5,12,3,694,7.41,345
"Comedy, Romance, Shoujo",6,4,3,515,2176,7.4,48
"Sci-Fi, Action",4,2,1,40,6270,6.29,4
"Comedy, Romance, Shounen",9,5,56,19,10839,6.4,0
Comedy,9,2,5,1,13398,3.93,0
"Comedy, Fantasy, Action",4,5,25,13,3862,6.85,6
"Historical, Fantasy",9,4,1,1028,10470,4.75,0
Fantasy,9,0,1,4,6843,5.18,3
Romance,13,3,4,2,6321,6.4,0
"Comedy, Sci-Fi, Gore, Action, Otro",9,3,6,16489,117,8.07,15941
"Fantasy, Otro",2,5,29,68,7641,6.98,6
"Sci-Fi, Fantasy, Action",9,3,6,44,3334,7.18,67
"Fantasy, Shoujo",10,2,0,516,12693,3.75,0
"Comedy, Romance, Ecchi",13,4,7,259,4813,6.76,2
"Comedy, Romance, Ecchi",6,3,1,259,2031,6.28,62
"Comedy, Romance, Shounen",15,5,12,19,1149,7.03,283
"Romance, Otro",11,5,10,66,11868,6.3,0
Otro,2,5,51,64,7310,6.59,5
"Comedy, Sci-Fi, Shounen",6,0,1,49,8796,6.35,0
Romance,6,4,4,2,5433,7.38,5
"Fantasy, Action",4,2,12,12,2961,6.39,102
"Comedy, Sci-Fi, Romance, Supernatural, Otro",9,5,13,227,1093,7.12,177
"Comedy, Romance",15,4,1,3,8830,6.5,0
"Comedy, Fantasy",14,5,12,5,3898,6.11,4
"Comedy, Sports, Fantasy, Shounen",6,0,1,4117,2237,7.28,19
Hentai,13,3,2,2048,5674,7.09,17
"Sci-Fi, Romance, Music, Action",9,4,2,8234,2696,7.6,11
"Comedy, Sci-Fi, Romance, Shounen, Ecchi",9,5,26,307,1590,7.52,490
"Romance, Hentai",6,3,1,2050,4919,6.88,7
"Historical, Fantasy, Shounen, Action",8,2,75,1052,9780,7.77,3
"Sci-Fi, Fantasy",5,5,12,36,926,6.59,279
"Romance, Fantasy",13,5,12,6,2801,7.12,97
Music,4,2,12,8192,3961,6.9,59
"Comedy, Fantasy, Shoujo",1,5,70,517,7748,7.07,11
"Sports, Romance, Shounen",6,3,1,4114,6570,7.21,1
Comedy,6,2,2,1,10422,5.32,0
"Fantasy, Action",4,4,1,12,1763,7.35,17
Hentai,6,3,2,2048,5402,6.81,17
Romance,6,3,2,2,3346,7.17,15
"Comedy, Fantasy, Ecchi",6,3,6,261,518,8.04,2331
"Comedy, Fantasy, Shounen",6,5,42,21,9434,6.39,0
"Mistery, Sci-Fi, Shounen, Action, Otro",6,0,1,32888,1257,8.08,247
Fantasy,9,2,1,4,13844,4.1,0
"Comedy, Fantasy, Shounen, Action, Otro",6,4,1,93,5530,7.49,2
"Sports, Romance, Shounen",6,5,12,4114,3281,6.22,8
"Romance, Fantasy, Shounen, Action",6,3,3,30,1209,8.4,830
"Comedy, Sci-Fi, Action",5,5,12,41,5359,4.1,1
"Hentai, Supernatural",6,3,0,2176,5874,6.58,17
"Comedy, Romance, Music",9,4,1,8195,1276,7.88,141
"Romance, Hentai",6,3,2,2050,6515,6.57,10
"Comedy, Romance, Fantasy, Supernatural, Ecchi",5,5,12,391,1973,7.05,100
"Sci-Fi, Action",9,3,3,40,7575,6.39,2
"Fantasy, Action, Supernatural, Otro",6,3,2,204,3275,6.8,30
"Comedy, Sci-Fi, Romance, Action, Ecchi",6,5,14,299,2398,7.25,41
"Comedy, Otro",4,5,50,65,4212,7.15,14
Hentai,13,3,1,2048,5293,6.35,31
"Comedy, Fantasy, Supernatural",4,5,51,133,3804,6.69,32
Romance,9,2,4,2,7513,6.37,2
"Fantasy, Action, Supernatural",9,5,12,140,957,6.65,175
"Sci-Fi, Romance, Fantasy, Shounen",6,5,52,54,4192,8.08,51
"Romance, Shoujo",9,3,1,514,4716,5.64,9
"Romance, Fantasy, Action",5,5,12,14,662,6.58,253
"Sci-Fi, Fantasy, Shounen, Action",6,5,50,60,4847,7.31,20
"Comedy, Romance",6,5,49,3,8561,7.3,1
Romance,10,5,26,2,2920,7.49,64
"Sci-Fi, Romance, Action",6,5,45,42,9380,6.35,2
"Historical, Romance, Fantasy, Shoujo",5,5,12,1542,1070,7.42,556
"Fantasy, Action",5,5,12,12,267,8.14,3576
"Fantasy, Shounen, Action, Supernatural, Otro",9,5,33,220,4012,7.04,20
"Mistery, Historical, Romance, Fantasy, Shounen, Action",6,5,52,33822,8485,6.61,4
"Sci-Fi, Action",5,5,24,40,1236,7.18,297
Romance,13,5,12,2,1085,6.4,127
"Fantasy, Hentai, Supernatural, Ecchi",13,3,2,2436,3270,7.42,289
"Sci-Fi, Thriller",13,5,23,65568,323,9.15,1882
"Comedy, Fantasy",6,2,4,5,3105,7.15,15
"Fantasy, Action, Supernatural",4,4,1,140,3686,6.29,4
"Romance, Otro",10,5,71,66,12934,5.0,0
Otro,5,4,1,64,1480,7.29,63
"Romance, Otro",13,3,2,66,4325,5.79,22
"Comedy, Fantasy",9,5,13,5,4007,6.91,9
"Comedy, Romance, Supernatural, Ecchi",5,5,12,387,56,7.62,13007
"Comedy, Romance, Music",15,5,13,8195,80,7.86,13575
"Sci-Fi, Romance, Shounen, Action",9,5,12,58,1411,6.71,70
"Fantasy, Action",8,5,12,12,279,7.91,1216
"Comedy, Supernatural, Ecchi",5,4,5,385,3576,7.16,12
"Comedy, Fantasy, Supernatural",4,4,1,133,5956,6.68,0
Comedy,5,4,1,1,2816,7.26,4
"Romance, Shounen, Ecchi",6,5,13,274,127,8.46,2322
"Comedy, Romance, Shounen, Ecchi",6,5,12,275,593,6.84,254
"Comedy, Romance, Shounen",6,0,1,19,10610,6.11,0
"Sci-Fi, Romance, Ecchi",5,0,1,290,1043,7.53,309
"Comedy, Shounen, Action, Supernatural",6,3,1,153,1271,7.28,51
"Comedy, Sci-Fi, Fantasy, Shounen",6,0,1,53,7213,7.46,4
"Comedy, Romance, Ecchi",13,5,13,259,3008,6.6,34
Hentai,6,3,0,2048,5634,6.82,14
"Sports, Fantasy",6,5,34,4100,6858,6.39,3
"Sci-Fi, Shounen, Action",9,5,50,56,10336,6.49,0
"Comedy, Romance, Fantasy, Shoujo, Action",6,5,24,527,165,8.19,8088
"Comedy, Otro",7,5,20,65,8239,5.28,1
"Comedy, Gore, Supernatural",9,5,0,16513,11297,4.08,1
"Comedy, Sci-Fi, Romance, Shounen",14,5,13,51,3414,6.08,7
Hentai,13,3,1,2048,5203,6.8,13
"Comedy, Romance, Fantasy, Shounen, Ecchi",6,3,2,279,3747,6.11,10
"Comedy, Fantasy, Action, Supernatural",4,5,12,141,1968,6.85,157
"Mistery, Comedy, Shounen, Action",6,3,3,32793,2647,7.27,119
"Comedy, Sci-Fi",6,4,6,33,9314,5.9,0
"Fantasy, Shoujo",6,5,39,516,8859,6.87,2
"Comedy, Romance, Music",15,4,6,8195,6227,6.66,2
"Sports, Romance, Action",9,5,12,4106,559,7.65,2638
"Romance, Fantasy, Action, Ecchi",5,5,12,270,168,7.75,4087
"Mistery, Comedy, Sports, Fantasy, Action, Otro",9,5,5,36941,12217,5.5,0
"Comedy, Action",4,5,13,9,10014,6.24,0
"Mistery, Shounen, Action, Otro",6,0,1,32856,3128,8.3,58
"Romance, Otro",9,5,0,66,11928,6.0,0
Hentai,13,3,2,2048,6331,6.47,10
Comedy,9,4,25,1,5377,7.05,2
"Comedy, Romance, Ecchi",5,5,12,259,866,6.94,163
"Comedy, Romance",9,5,12,3,3941,6.57,11
"Historical, Romance, Fantasy, Shounen, Supernatural, Otro",6,4,1,1238,1201,8.64,100
Comedy,9,5,9,1,5890,5.62,6
"Comedy, Sci-Fi",9,4,9,33,8217,6.25,2
"Sci-Fi, Romance, Fantasy, Shounen, Action",9,5,26,62,1339,7.43,600
Romance,9,4,1,2,7022,5.08,0
"Comedy, Romance",9,3,1,3,2387,7.11,10
"Comedy, Romance",6,5,63,3,7775,6.69,1
"Sci-Fi, Fantasy, Action",4,3,2,44,7984,5.51,1
"Historical, Romance, Shoujo",8,5,46,1538,3639,7.81,53
"Fantasy, Music",9,5,22,8196,6037,6.63,17
"Comedy, Romance, Fantasy, Shounen, Action",6,4,1,31,2287,8.28,27
"Romance, Fantasy, Action, Otro",5,5,25,78,3,7.64,50042
"Fantasy, Action, Supernatural",4,5,24,140,687,7.56,509
Music,7,1,1,8192,6877,5.94,1
"Shounen, Action, Supernatural, Otro",9,0,1,216,2346,7.49,14
Romance,9,4,2,2,8032,5.02,1
"Romance, Fantasy, Action, Otro",5,0,1,78,316,8.09,2218
"Comedy, Romance, Shounen",15,5,12,19,815,7.36,666
"Sci-Fi, Romance, Ecchi",13,5,13,290,4392,6.52,4
"Fantasy, Action, Otro",4,2,18,76,3025,7.57,57
Comedy,6,2,1,1,9002,5.84,1
"Comedy, Shoujo",4,4,51,513,7320,6.95,6
"Gore, Action, Supernatural",6,3,1,16520,4215,6.05,4
"Fantasy, Otro",9,2,1,68,13822,5.18,0
"Comedy, Fantasy, Shounen, Action, Supernatural",6,5,12,157,15,8.15,18501
"Comedy, Sci-Fi, Shounen, Otro",6,0,1,113,13025,6.76,0
"Comedy, Romance, Supernatural",6,2,9,131,3648,5.99,8
"Mistery, Comedy, Sports, Shounen",6,5,22,36881,10843,6.11,0
"Comedy, Romance, Shounen, Action, Ecchi",6,5,52,283,523,7.69,1584
"Comedy, Sci-Fi, Romance, Fantasy, Action, Ecchi",9,3,6,303,3773,7.17,38
Hentai,6,3,1,2048,6260,6.55,9
"Fantasy, Action, Otro",6,5,50,76,8171,6.01,4
"Comedy, Romance",9,2,12,3,11402,6.18,0
"Historical, Romance, Shoujo, Action, Supernatural",5,3,3,1674,4229,7.05,25
Comedy,6,5,36,1,11798,6.75,0
"Comedy, Sci-Fi, Action",9,5,12,41,1570,6.99,92
"Comedy, Sci-Fi, Romance, Shounen, Ecchi",6,3,3,307,1905,7.77,92
"Comedy, Sci-Fi, Romance, Fantasy, Shoujo, Supernatural",6,5,52,679,1005,7.04,1058
"Comedy, Sports, Romance, Ecchi",5,5,12,4355,2297,7.25,48
"Comedy, Music",9,5,100,8193,2933,7.66,99
Romance,6,5,51,2,4857,6.89,14
Supernatural,8,5,26,128,2046,7.15,139
"Fantasy, Action, Supernatural",7,3,1,140,5920,5.93,1
"Comedy, Romance",6,4,1,3,3191,7.02,16
"Comedy, Historical, Romance, Supernatural",13,4,2,1155,2025,7.42,41
"Comedy, Romance, Ecchi",5,5,13,259,310,7.27,1356
"Comedy, Historical, Romance, Shoujo, Otro",8,5,26,1603,7405,7.12,4
"Comedy, Sci-Fi, Romance",6,5,12,35,4249,7.08,14
"Sci-Fi, Romance, Action",6,0,1,42,6420,6.77,3
"Comedy, Romance, Action, Supernatural",13,5,13,139,704,6.81,458
"Fantasy, Action",5,5,13,12,519,7.89,767
"Sci-Fi, Romance, Shounen, Action",4,3,6,58,3992,6.87,21
"Fantasy, Action, Otro",4,5,26,76,6610,6.0,6
Hentai,13,3,2,2048,6449,5.97,5
"Fantasy, Action",5,5,13,12,737,7.23,748
"Comedy, Romance, Otro",10,5,26,67,2546,8.66,634
"Comedy, Gore",9,3,4,16385,11418,4.92,1
"Romance, Shounen, Action",6,3,2,26,7373,6.25,0
"Comedy, Shounen, Action, Otro",6,5,13,89,3929,7.89,21
"Romance, Shoujo, Music",4,5,140,8706,3515,7.62,214
"Comedy, Romance",15,5,13,3,2493,5.61,25
"Comedy, Romance, Fantasy, Gore, Shounen, Action, Ecchi",6,5,51,16671,4204,7.07,19
"Supernatural, Otro",9,5,13,192,6876,6.13,3
"Fantasy, Otro",4,4,1,68,4766,6.83,4
"Sci-Fi, Shounen, Action",6,0,1,56,7156,6.57,10
"Sci-Fi, Romance, Action",9,5,50,42,1851,8.02,1191
"Comedy, Fantasy, Action, Supernatural",5,5,24,141,2409,7.27,150
Gore,9,0,1,16384,12214,4.79,0
"Romance, Fantasy, Thriller, Otro",9,0,1,65606,763,8.45,403
"Comedy, Romance, Shoujo",6,3,1,515,2169,7.43,42
"Comedy, Romance",9,0,1,3,686,8.1,970
"Comedy, Romance",13,5,13,3,2217,6.64,43
Hentai,13,3,2,2048,6245,6.64,10
"Romance, Otro",8,5,16,66,3530,6.26,17
"Sci-Fi, Romance, Fantasy",9,5,39,38,2505,7.38,160
"Sci-Fi, Romance",6,4,2,34,7087,7.05,2
"Fantasy, Shounen, Action",6,4,3,28,9059,6.49,1
"Fantasy, Action, Supernatural",8,5,13,140,43,8.44,21019
Otro,9,5,12,64,5984,5.15,3
"Comedy, Fantasy, Otro",9,5,156,69,11259,5.77,0
"Romance, Shounen",6,3,2,18,2093,7.3,60
"Historical, Romance",9,0,1,1026,3157,7.65,15
"Historical, Romance, Action, Supernatural, Otro",13,5,10,1226,1351,7.73,513
"Comedy, Fantasy",4,0,1,5,8414,6.12,3
"Comedy, Sports, Fantasy, Shounen",6,5,137,4117,4798,7.34,45
"Sports, Shoujo, Music",9,0,1,12800,5120,6.25,20
Fantasy,9,4,1,4,6111,5.76,0
"Romance, Fantasy, Shoujo, Ecchi",13,0,1,774,2441,6.22,127
Hentai,13,3,2,2048,6791,6.06,1
"Comedy, Fantasy, Shounen",6,5,45,21,4353,7.73,59
"Comedy, Romance, Fantasy, Supernatural",5,5,24,135,286,7.73,1578
Fantasy,9,0,1,4,7864,6.4,0
"Shounen, Action, Supernatural, Otro",6,3,2,216,3055,7.38,21
"Comedy, Historical, Fantasy, Shounen, Action",9,5,26,1053,67,8.5,19501
"Comedy, Sci-Fi, Fantasy, Action",6,5,24,45,7054,6.11,3
"Comedy, Fantasy, Shounen, Otro",6,0,1,85,8479,7.41,1
"Comedy, Romance, Supernatural",6,5,13,131,3172,7.4,8
"Comedy, Romance, Shounen, Action",6,5,12,27,621,7.14,398
"Romance, Shoujo",6,5,23,514,4790,7.47,31
"Comedy, Romance, Shounen, Action",6,5,47,27,7798,6.72,4
"Romance, Shounen",6,5,13,18,620,7.35,1225
"Comedy, Sports",6,5,61,4097,9004,6.62,5
"Historical, Romance, Fantasy, Action, Supernatural, Otro",13,3,6,1230,2777,7.8,78
"Comedy, Sci-Fi, Romance, Action, Ecchi",6,5,12,299,1710,7.26,177
"Mistery, Sci-Fi, Otro",6,0,1,32864,2163,7.47,20
"Historical, Romance, Shounen, Action",6,3,4,1050,481,8.79,4683
"Historical, Shounen, Action",9,2,0,1048,6852,6.02,4
"Comedy, Romance, Fantasy",9,4,9,7,4881,7.08,4
"Comedy, Romance, Shoujo",6,5,24,515,217,8.07,2836
Otro,9,5,12,64,3666,4.93,3
"Comedy, Fantasy, Supernatural, Ecchi, Otro",5,5,12,453,11,8.41,31782
"Romance, Fantasy, Thriller, Otro",9,0,1,65606,403,8.47,4922
"Comedy, Sci-Fi, Sports, Fantasy, Shounen, Action",6,5,51,4157,1303,6.8,276
"Romance, Supernatural",9,0,1,130,629,8.13,409
"Sports, Romance, Shounen, Action",6,5,47,4122,3364,8.6,529
"Comedy, Sci-Fi, Fantasy, Ecchi",6,5,12,293,3215,6.86,41
Otro,4,2,1,64,13473,4.3,0
"Comedy, Shoujo, Action, Ecchi",6,4,1,777,2344,6.64,40
"Romance, Fantasy, Shoujo, Supernatural",6,3,13,646,5025,6.2,10
"Comedy, Historical, Romance, Shoujo",6,3,1,1539,1349,7.24,49
"Sci-Fi, Romance, Otro",9,4,1,98,2764,6.93,24
"Sci-Fi, Romance, Action",5,5,13,42,3491,7.05,34
"Comedy, Fantasy",9,3,2,5,5115,6.79,4
"Comedy, Sports, Romance, Shounen",6,5,10,4115,274,8.99,4154
Romance,6,5,61,2,2675,7.71,142
"Sports, Shounen",6,5,22,4112,6314,6.8,11
"Romance, Shounen, Action",9,4,1,26,6719,7.04,1
Hentai,13,3,0,2048,5668,6.86,14
"Comedy, Romance, Shoujo",6,4,2,515,2129,7.84,77
Comedy,9,4,7,1,5816,6.67,0
"Comedy, Romance, Shoujo, Music, Ecchi",13,4,1,8963,2832,7.43,85
"Comedy, Fantasy, Shoujo, Action",9,5,49,525,4304,7.22,38
"Comedy, Gore, Otro",6,3,1,16449,1667,7.42,539
"Sci-Fi, Action, Otro",8,0,1,104,2138,7.47,48
Otro,6,3,1,64,9637,6.2,0
"Comedy, Romance, Action",6,5,24,11,2165,7.22,102
"Comedy, Sports, Shounen",6,0,1,4113,3448,7.58,43
"Historical, Fantasy, Shounen, Action",6,5,12,1052,850,6.92,241
"Romance, Action, Supernatural, Thriller, Otro",5,0,1,65738,707,8.52,1446
"Comedy, Romance, Otro",6,5,11,67,624,8.21,3094
"Comedy, Romance",14,4,7,3,3541,7.45,13
"Comedy, Romance, Ecchi",6,5,12,259,1694,7.23,71
"Comedy, Fantasy, Supernatural",6,3,4,133,2455,7.06,79
"Comedy, Sci-Fi, Romance, Shounen, Action",9,5,26,59,1960,7.58,354
"Romance, Shoujo, Music",6,3,1,8706,8164,5.48,4
"Comedy, Fantasy, Shounen",6,4,1,21,4056,7.32,12
"Sports, Romance, Shounen",6,5,101,4114,2883,8.11,328
"Comedy, Romance, Fantasy",5,3,1,7,2978,7.0,12
"Comedy, Sci-Fi, Romance, Fantasy, Shounen, Action",9,5,12,63,4360,7.07,26
"Comedy, Sci-Fi, Historical, Shounen, Action",6,5,201,1081,95,9.01,33781
Hentai,6,3,4,2048,3820,6.98,73
"Comedy, Action, Supernatural",6,4,10,137,1772,6.7,81
"Sci-Fi, Fantasy, Action",4,5,13,44,236,7.49,1464
"Comedy, Shoujo",6,0,1,513,2438,7.46,409
Sports,14,5,12,4096,2277,7.15,98
"Sci-Fi, Fantasy",9,5,24,36,3853,6.63,22
Romance,9,5,12,2,6359,4.83,1
"Fantasy, Shoujo, Otro",9,0,1,580,5638,7.11,2
"Romance, Shounen",6,0,1,18,77,9.04,19815
"Sci-Fi, Romance, Action",4,2,9,42,2317,7.13,128
"Sci-Fi, Romance, Fantasy",8,0,1,38,113,8.35,4395
"Comedy, Romance",6,5,70,3,13710,5.83,0
"Sci-Fi, Fantasy",9,5,11,36,1275,7.03,191
"Romance, Fantasy, Supernatural",9,0,1,134,3197,7.82,56
"Sci-Fi, Shounen, Action",4,5,12,56,3028,6.44,36
Action,9,2,1,8,9600,6.05,2
"Fantasy, Action, Otro",9,5,52,76,1783,6.37,160
"Comedy, Action",6,5,50,9,8053,7.27,12
"Fantasy, Action",4,5,13,12,2269,6.6,68
"Historical, Shounen, Otro",6,5,20,1104,4954,7.6,21
"Comedy, Romance, Music",4,3,3,8195,3377,7.28,13
"Fantasy, Otro",4,4,1,68,4132,6.21,2
"Comedy, Sports, Romance, Shounen",6,5,12,4115,2884,6.64,33
"Fantasy, Shoujo, Otro",9,0,1,580,7047,7.18,1
"Comedy, Sports, Shounen, Action",6,3,10,4121,3889,7.72,45
"Mistery, Comedy, Sci-Fi, Romance, Action",6,5,25,32811,4478,7.03,35
"Mistery, Comedy, Sci-Fi, Action, Ecchi",9,3,1,33065,4847,6.19,3
Comedy,9,2,0,1,12087,6.62,3
Fantasy,10,5,26,4,9878,6.47,2
"Sci-Fi, Romance, Shounen",6,3,2,50,3743,7.29,28
"Comedy, Fantasy, Shoujo, Action",9,0,1,525,7833,6.88,3
Fantasy,11,0,1,4,6783,6.58,1
Music,6,1,1,8192,8325,6.44,1
"Comedy, Supernatural, Otro",5,5,7,193,762,9.02,2432
"Comedy, Sci-Fi, Shounen, Ecchi",6,5,12,305,2421,6.76,47
"Comedy, Sci-Fi, Shounen, Ecchi",9,3,4,305,4339,6.46,5
"Sci-Fi, Sports",9,3,5,4128,11170,6.86,1
"Comedy, Supernatural",9,5,13,129,4175,6.09,13
Fantasy,9,5,24,4,1571,5.78,53
"Sci-Fi, Romance, Gore",6,5,20,16418,4545,6.3,15
Fantasy,4,2,10,4,12014,5.43,0
"Fantasy, Shounen, Action, Ecchi",5,5,12,284,339,7.16,920
"Fantasy, Action, Supernatural",9,5,24,140,952,7.5,342
"Sci-Fi, Action",9,2,13,40,3330,7.28,47
"Mistery, Sci-Fi, Action",6,5,12,32808,1995,6.3,45
"Comedy, Romance, Fantasy",15,4,1,7,8972,5.69,0
"Comedy, Sports, Romance, Shounen",6,0,1,4115,10771,5.71,0
"Romance, Fantasy",8,0,1,6,3938,7.32,16
"Comedy, Fantasy",8,3,4,5,9160,6.29,0
"Romance, Shounen, Action",9,3,1,26,6261,5.94,1
Hentai,13,3,3,2048,3155,7.58,96
"Comedy, Otro",11,5,0,65,10727,5.61,0
"Historical, Romance, Fantasy, Shounen, Otro",9,2,13,1110,12248,6.55,1
"Comedy, Shounen, Otro",9,2,8,81,11453,6.26,0
"Romance, Ecchi",6,5,12,258,2267,4.6,70
"Sci-Fi, Romance, Fantasy",10,5,39,38,8324,6.9,6
Fantasy,8,2,12,4,9809,6.95,0
"Comedy, Music",9,5,0,8193,9646,5.7,1
"Comedy, Shoujo, Action",6,4,6,521,3409,7.35,13
"Gore, Otro",6,3,1,16448,7332,4.69,2
"Comedy, Historical, Romance, Fantasy, Shoujo, Shounen",6,5,52,1559,1124,7.75,1922
"Comedy, Sci-Fi, Shounen",6,5,358,49,1756,7.88,810
"Mistery, Comedy",6,4,1,32769,9609,6.75,4
"Sci-Fi, Romance, Action",6,3,4,42,6659,6.34,7
"Comedy, Sci-Fi",9,5,26,33,4275,7.4,16
"Music, Action",4,5,6,8200,4702,5.42,5
"Sci-Fi, Fantasy, Shounen, Action",9,3,6,60,1530,7.5,306
"Shounen, Action, Supernatural",6,5,24,152,886,8.11,542
"Sci-Fi, Action",9,3,15,40,4224,6.82,16
"Comedy, Romance, Shounen",14,4,6,19,1195,7.93,112
"Comedy, Ecchi",6,4,3,257,6784,5.35,1
"Romance, Fantasy",9,5,13,6,6268,6.54,5
"Fantasy, Action, Supernatural, Otro",5,0,1,204,1989,7.7,68
Comedy,15,5,12,1,8187,5.66,2
"Romance, Supernatural",9,5,13,130,752,5.53,190
"Comedy, Romance, Fantasy",6,5,13,7,158,8.19,6098
Comedy,6,2,24,1,1932,6.7,47
"Mistery, Comedy, Fantasy, Shounen, Otro",6,0,1,32853,2352,7.94,8
"Comedy, Romance, Fantasy, Shoujo",6,5,51,519,4237,6.68,32
"Historical, Fantasy, Shounen, Supernatural",9,0,1,1172,7997,6.96,1
Comedy,6,0,1,1,10056,6.26,0
"Comedy, Romance, Fantasy, Shounen, Supernatural, Ecchi",6,5,26,407,899,7.08,558
"Sci-Fi, Fantasy, Action, Ecchi",9,5,12,300,743,7.11,933
"Comedy, Romance",6,5,13,3,1179,7.69,497
"Comedy, Romance, Fantasy, Shounen, Ecchi",6,5,12,279,215,7.3,2135
Fantasy,8,5,23,4,10880,6.38,2
"Comedy, Romance, Ecchi",5,5,12,259,272,6.9,1558
"Romance, Hentai",13,3,2,2050,8190,5.63,0
"Comedy, Historical",6,3,1,1025,10267,6.46,1
"Comedy, Romance, Fantasy, Shoujo",6,5,22,519,1380,8.23,1523
"Sci-Fi, Fantasy, Action, Supernatural",5,0,1,172,1276,7.59,284
"Sports, Shounen",6,5,4,4112,1789,8.31,267
"Comedy, Sci-Fi",9,3,2,33,6556,6.55,4
"Gore, Shounen, Action, Supernatural",6,4,3,16536,1470,7.32,119
"Romance, Fantasy",6,4,1,6,4028,7.02,11
"Sci-Fi, Romance, Action",4,5,12,42,3047,5.87,42
"Fantasy, Shounen, Action",8,3,1,28,2622,7.2,13
"Comedy, Fantasy, Shounen, Action, Supernatural",6,5,13,157,66,8.41,7040
"Comedy, Shoujo, Shounen, Action, Ecchi",5,4,2,793,1700,6.62,34
"Romance, Fantasy, Supernatural, Otro",5,5,6,198,1893,7.0,90
"Comedy, Romance, Fantasy, Shoujo",6,5,34,519,1290,7.99,865
"Comedy, Historical, Romance, Fantasy, Action",6,4,1,1039,4670,7.39,18
"Romance, Hentai",13,3,6,2050,2682,7.04,317
"Sci-Fi, Music, Action",9,5,13,8232,3119,7.66,321
"Sci-Fi, Romance, Fantasy, Action",9,0,1,46,7076,5.21,3
Hentai,13,3,2,2048,6046,5.55,9
"Sci-Fi, Music, Action",9,5,13,8232,2381,7.49,312
"Comedy, Supernatural",6,4,3,129,9807,5.32,1
"Fantasy, Otro",1,0,1,68,7872,7.01,2
"Sci-Fi, Romance, Hentai",5,3,2,2082,2366,7.31,358
"Romance, Fantasy",9,4,1,6,5018,7.04,3
"Comedy, Romance, Shounen, Action",6,0,1,27,2208,7.71,66
"Comedy, Fantasy, Shounen, Action",6,0,1,29,597,7.41,285
"Shounen, Action, Supernatural",6,2,1,152,8399,5.79,2
"Shounen, Action, Thriller, Otro",9,5,11,65624,386,7.38,1055
"Romance, Supernatural",13,0,1,130,1561,7.35,115
"Sci-Fi, Romance, Action",5,3,2,42,3339,7.81,46
"Comedy, Romance, Hentai",6,3,1,2051,2031,6.99,199
"Comedy, Fantasy, Shoujo, Action",6,3,3,525,1467,8.15,180
"Romance, Fantasy, Shounen, Action",4,2,24,30,7119,6.82,8
"Comedy, Romance, Shounen, Ecchi",6,5,20,275,78,7.81,7773
"Fantasy, Shounen, Action",6,3,5,28,1173,7.99,168
"Historical, Fantasy, Shounen, Supernatural",6,5,26,1172,3365,7.22,74
"Comedy, Romance, Fantasy, Shounen",6,4,12,23,1843,7.98,239
"Sci-Fi, Action",9,5,26,40,1095,7.35,284
"Sci-Fi, Fantasy, Action",10,0,1,44,2324,6.72,42
"Romance, Fantasy, Action",9,3,6,14,4073,6.73,45
"Comedy, Historical, Fantasy, Shounen, Action",6,5,12,1053,290,8.05,1825
"Comedy, Historical, Romance",5,5,12,1027,446,7.62,974
Hentai,9,3,2,2048,5894,5.97,7
"Comedy, Sci-Fi, Romance, Otro",11,5,24,99,12003,4.5,0
"Historical, Fantasy, Otro",13,5,12,1092,5340,6.68,7
